id,title,publicationDate,place,description,siteUrl,favoritesCount,commentsCount,rating
51073,"Создатели «Коралины в Стране кошмаров» показали первые кадры из нового мультфильма",1724076417,"null","<p>Премьера в 2025 году.</p>","https://kudago.com/all/news/sozdateli-koralinyi-v-strane/",0,0,0.5
51070,"В середине недели петербуржцам обещают похолодание",1724069963,"null","<p>Однако к выходным может потеплеть.</p>","https://kudago.com/spb/news/v-seredine-nedeli-peterburzhtsam/",0,0,0.5
51068,"Россиян ждёт суперлуние",1724066745,"null","<p>На этот раз оно совпало с «Голубой луной».</p>","https://kudago.com/all/news/rossiyan-zhdyot-superlunie/",0,0,0.5
51067,"Стала известна подробная программа фестиваля «Антон тут рядом»",1724064491,"null","<p>Фонд объявил полный список артистов.</p>","https://kudago.com/all/news/stala-izvestna-podrobnaya-19-08-2024/",0,0,0.5
51065,"VK Fest анонсировал даты проведения праздника в 2025 году",1724060575,"null","<p>Пока только для двух столиц.</p>","https://kudago.com/all/news/vk-fest-anonsiroval-datyi/",0,0,0.5
50149,"Смотри, как ускользает красота: рецензия на спектакли «Ловля форели на рассвете» и «Ловля форели на закате» в театре Karlsson Haus",1724051503,"null","<p>Очень редко, когда из одного произведения вырастает целых две сценические интерпретации в видении одного режиссёра. Но у Бориса Павловича получилось нечто сверхреальное. Он не только дважды обратился к Ричарду Бротигану, но и создал два неповторимых, хоть и пересекающихся спектакля о красоте момента и мечтах. </p>","https://kudago.com/spb/news/smotri-kak-uskolzaet-krasota/",0,0,0.5
51059,"В Петербурге разрешили тратить маткапитал на платных врачей",1724051495,"null","<p>И образование.</p>","https://kudago.com/spb/news/v-peterburge-razreshili-tratit/",0,0,0.5
51055,"Экс-солистка «Тату» Юля Волкова выступит на автодроме «Игора Драйв» в рамках этапа чемпионата и Кубка России по автомобильным кольцевым гонкам G-Energy СМП РСКГ Эндуранс",1723818424,"ru.fintech.kotlin.dto.Place@6e421036","<p>С 23 по 25 августа автодром «Игора Драйв» принимает 11 спринтерских гонок серии G-Drive СМП РСКГ Туринг и 4-часовой марафон G-Energy СМП РСКГ Эндуранс. Музыкальным украшением программы станет выступление Юли Волковой с лучшими хитами.</p>","https://kudago.com/spb/news/eks-solistka-tatu-yulya-volkova/",2,0,0.8807970779778823
51058,"Опубликован рейтинг лучших университетов мира",1723817855,"null","<p>В нём семь вузов из России.</p>","https://kudago.com/all/news/opublikovan-rejting-luchshih-16-08-2024/",0,0,0.5
51057,"В Госдуме высказали идею ввести школьную форму в стиле императорской России",1723817284,"null","<p>Или СССР.</p>","https://kudago.com/all/news/v-gosdume-vyiskazali-ideyu-vvesti/",0,0,0.5
51056,"Врачи дали рекомендации по выбору школьного рюкзака",1723817075,"null","<p>Важно учитывать параметры ребёнка.</p>","https://kudago.com/all/news/vrachi-dali-rekomendatsii-po/",0,0,0.5
51054,"Первая половина августа в Петербурге стала самой дождливой за 120 лет",1723815165,"null","<p>Норма осадков превышена в три раза.</p>","https://kudago.com/spb/news/pervaya-polovina-avgusta-v/",0,0,0.5
51052,"Кабан хулиганит в Приморском районе Петербурга",1723814977,"null","<p>Животное неделю гуляет по улицам.</p>","https://kudago.com/spb/news/kaban-huliganit-v-primorskom/",0,0,0.5
51047,"Модная собака: Vogue запустил проект про звёздных питомцев",1723814871,"null","<p>В 12 выпусках истории 16 собак.</p>","https://kudago.com/all/news/modnaya-sobaka-vogue-zapustil/",0,0,0.5
51050,"В Ленобласти засняли танцующих медведей",1723809739,"null","<p>Видео поделились сотрудники заповедника.</p>","https://kudago.com/spb/news/v-lenoblasti-zasnyali-tantsuyuschih/",0,0,0.5
51049,"В центре хаоса: рецензия на сериал «Игры»",1723803081,"null","<p>На «Кинопоиске» стартовал масштабный проект «Игры». Пока в Париже гремели XXXIII летние Олимпийские игры, команда «Нулевого пациента» — продюсер Александра Ремизова и режиссёр Евгений Стычкин — решила сконструировать летнюю Олимпиаду 1980 года в Москве. Каким обещает быть проект, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>","https://kudago.com/all/news/retsenziya-na-serial-igryi/",0,0,0.5
51041,"По выходным между Петербургом и Ораниенбаумом будут ходить дополнительные электрички",1723738560,"null","<p>Число поездов увеличится с 17 августа.</p>","https://kudago.com/spb/news/po-vyihodnyim-mezhdu-peterburgom-i/",0,0,0.5
51039,"Авиадебоширов хотят вносить в чёрный список",1723738262,"null","<p>Инициативу поддержал Минтранс.</p>","https://kudago.com/all/news/aviadeboshirov-hotyat-vnosit-v/",0,0,0.5
51037,"Российская команда выиграла первую Международную олимпиаду по ИИ",1723737851,"null","<p>Участники взяли золото за теорию и серебро за практику. </p>","https://kudago.com/all/news/rossijskaya-komanda-vyiigrala/",0,0,0.5
51038,"Начались съёмки сериала по мотивам фильма «Москва слезам не верит»",1723737413,"null","<p>В режиссёрском кресле автор «Слова пацана».</p>","https://kudago.com/all/news/nachalis-syomki-seriala-po/",0,0,0.5
51036,"Сериал «Джентльмены» Гая Ричи получил второй сезон",1723736803,"null","<p>К съёмкам приступят в 2025 году.</p>","https://kudago.com/all/news/serial-dzhentlmenyi-gaya-richi/",0,0,0.5
51025,"фестиваль актуального китайского кино «Современное кино Китая» пройдёт в Санкт-Петербурге, Москве и Новосибирске",1723725156,"ru.fintech.kotlin.dto.Place@6d1833e2","<p>Гости фестиваля познакомятся с пятью фильмами разных жанров и увидят, каким умным и художественно качественным может быть кино для широкого проката.</p>","https://kudago.com/all/news/festival-aktualnogo-kitajskogo/",1,0,0.7310585786300049
51033,"В Павловске отреставрируют павильон «Трёх граций»",1723724857,"null","<p>Его построили более 200 лет назад.</p>","https://kudago.com/spb/news/v-pavlovske-otrestavriruyut/",0,0,0.5
51031,"Вышел финальный трейлер второго сезона сериала «Властелин колец: Кольца власти»",1723723866,"null","<p>Показ начнётся в конце лета.</p>","https://kudago.com/all/news/vyishel-finalnyij-trejler-vtorogo/",0,0,0.5
51029,"Фильм «Мамма Миа!» может получить третью часть",1723716037,"null","<p>Об этом рассказала одна из актрис франшизы.</p>","https://kudago.com/all/news/film-mamma-mia-mozhet/",0,0,0.5
51027,"В кофейнях Москвы и Санкт-Петербурга пройдёт акция «Кофе для хорошего мальчика»",1723711061,"null","<p>Заведения отправят выручку в приюты.</p>","https://kudago.com/all/news/v-kofejnyah-moskvyi-i-sankt-/",0,0,0.5
51024,"Фестиваль фонтанов в Петергофе посвятят сказкам Пушкина",1723646143,"null","<p>Он пройдёт в конце сентября.</p>","https://kudago.com/spb/news/festival-fontanov-v-petergofe/",0,0,0.5
51022,"Студенты СПбГУ выиграли международную математическую олимпиаду",1723645458,"null","<p>В ей участвовали учащиеся из 80 университетов.</p>","https://kudago.com/spb/news/studentyi-spbgu-vyiigrali/",0,0,0.5
51021,"Вышел трейлер нового сезона «Убийства в одном здании»",1723645364,"null","<p>Сериал вернётся на экраны в конце лета.</p>","https://kudago.com/all/news/vyishel-trejler-novogo-sezona-14-08-2024/",0,0,0.5
